1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
5	6	6	6	9	7	8	7	9	7	20	7	8	6	6	23
5	6	6	6	23	6	6	6	23	6	6	6	23	6	6	23
5	7	23	7	24	6	6	6	25	7	26	7	27	6	6	23
5	6	6	6	28	6	6	6	23	6	6	6	6	6	6	23
5	6	6	6	25	7	29	7	20	6	6	23	23	23	6	23
5	6	24	24	23	24	6	6	6	23	23	25	26	27	6	23
5	24	24	28	25	28	27	7	8	30	31	7	32	33	6	23
5	24	28	28	23	28	28	24	23	34	25	25	25	33	6	23
5	24	28	28	34	8	9	8	35	36	23	23	23	25	6	23
37	38	38	38	38	38	38	38	38	38	38	38	38	38	38	39
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
